X,SRS011061,SRS012902
Bacteroides_cellulosilyticus_DSM_14838,0.24836262,0
Parabacteroides_merdae_ATCC_43184,0.199160454,0.002026689
Bacteroides_vulgatus_ATCC_8482,0.06769322,0.273013835
Alistipes_putredinis_DSM_17216,0.065843909,0.00226117
Bacteroides_sp_4_3_47FAA,0.062667628,0.251363476
Bacteroides_caccae_ATCC_43185,0,0
Burkholderiales_bacterium_1_1_47,0.039272159,0.021122556
Bacteroides_sp_20_3,0.034319588,0.003995761
Bacteroides_ovatus_ATCC_8483,0.03110225,0.067251968
Bacteroides_sp_2_1_33B,0.028711098,0